"constructor_id","constructor_nationality"
"alfa","Swiss"
"alphatauri","Italian"
"alpine","French"
"aston_martin","British"
"audi","German"
"cadillac","American"
"caterham","Malaysian"
"ferrari","Italian"
"force_india","Indian"
"haas","American"
"hrt","Spanish"
"lotus_f1","British"
"lotus_racing","Malaysian"
"manor","British"
"marussia","Russian"
"mclaren","British"
"mercedes","German"
"racing_point","British"
"rb","Italian"
"red_bull","Austrian"
"renault","French"
"sauber","Swiss"
"toro_rosso","Italian"
"virgin","British"
"williams","British"
